chr2L 162 5162 7
chr2L 5162 9962 6
chr2L 9962 10562 2
chr2L 10562 11962 7
chr2L 11962 16362 2
chr2L 16362 16962 7
chr2L 16962 18762 1
chr2L 18762 19962 7
chr2L 19962 21562 1
chr2L 21562 25562 7
chr2L 25562 26562 8
chr2L 26562 29362 7
chr2L 29362 30362 8
chr2L 30362 31162 7
chr2L 31162 61562 6
chr2L 61562 65962 9
chr2L 65962 66762 3
chr2L 66762 68362 1
chr2L 68362 71562 2
chr2L 71562 75362 1
chr2L 75362 84762 2
chr2L 84762 87762 3
chr2L 87762 94362 4
chr2L 94362 94562 3
chr2L 94562 95562 1
chr2L 95562 102162 2
chr2L 102162 103962 1
chr2L 103962 104762 2
chr2L 104762 106962 1
chr2L 106962 107562 7
chr2L 107562 109962 1
chr2L 109962 118562 2
chr2L 118562 121162 1
chr2L 121162 122362 3
chr2L 122362 124562 2
chr2L 124562 130562 3
chr2L 130562 136162 4
chr2L 136162 137962 3
chr2L 137962 142962 4
chr2L 142962 143162 3
chr2L 143162 144562 1
chr2L 144562 146562 2
chr2L 146562 147562 9
chr2L 147562 150162 2
chr2L 150162 151162 9
chr2L 151162 154162 2
chr2L 154162 159162 1
chr2L 159162 184362 3
chr2L 184362 203362 2
chr2L 203362 204962 1
chr2L 204962 206162 2
chr2L 206162 207162 3
chr2L 207162 208362 1
chr2L 208362 220362 2
chr2L 220362 225962 3
chr2L 225962 244562 2
chr2L 244562 248362 3
chr2L 248362 252962 1
chr2L 252962 270962 2
chr2L 270962 278762 1
chr2L 278762 281962 2
chr2L 281962 283562 1
chr2L 283562 285562 5
chr2L 285562 291762 4
chr2L 291762 292162 2
chr2L 292162 299362 1
chr2L 299362 300162 2
chr2L 300162 301962 3
chr2L 301962 303962 2
chr2L 303962 305762 3
chr2L 305762 306562 1
chr2L 306562 308362 3
chr2L 308362 313362 2
chr2L 313362 315162 7
chr2L 315162 340962 2
chr2L 340962 344162 7
chr2L 344162 345562 2
chr2L 345562 347562 7
chr2L 347562 356962 2
chr2L 356962 358362 1
chr2L 358362 372762 7
chr2L 372762 375162 8
chr2L 375162 375762 7
chr2L 375762 377162 8
chr2L 377162 377562 7
chr2L 377562 378162 8
chr2L 378162 382562 7
chr2L 382562 398762 8
chr2L 398762 399362 7
chr2L 399362 402362 8
chr2L 402362 402962 7
chr2L 402962 403962 5
chr2L 403962 405362 1
chr2L 405362 413562 2
chr2L 413562 416362 1
chr2L 416362 418562 2
chr2L 418562 422762 1
chr2L 422762 424962 2
chr2L 424962 427362 3
chr2L 427362 430562 4
chr2L 430562 430962 5
chr2L 430962 432362 1
chr2L 432362 434562 3
chr2L 434562 438362 4
chr2L 438362 451562 2
chr2L 451562 452562 3
chr2L 452562 454362 1
chr2L 454362 458362 2
chr2L 458362 460162 3
chr2L 460162 467762 4
chr2L 467762 472762 3
chr2L 472762 474362 1
chr2L 474362 478762 2
chr2L 478762 490162 3
chr2L 490162 490962 1
chr2L 490962 533562 3
chr2L 533562 540562 2
chr2L 540562 545762 1
chr2L 545762 547362 2
chr2L 547362 548762 4
chr2L 548762 549362 9
chr2L 549362 551362 4
chr2L 551362 553762 3
chr2L 553762 558162 2
chr2L 558162 560962 1
chr2L 560962 561962 2
chr2L 561962 562562 4
chr2L 562562 563962 9
chr2L 563962 566362 1
chr2L 566362 566962 2
chr2L 566962 569962 1
chr2L 569962 572162 2
chr2L 572162 575762 1
chr2L 575762 576962 2
chr2L 576962 580762 9
chr2L 580762 602162 6
chr2L 602162 603762 1
chr2L 603762 604162 2
chr2L 604162 605562 9
chr2L 605562 607362 6
chr2L 607362 608962 7
chr2L 608962 609962 8
chr2L 609962 613762 9
chr2L 613762 614562 6
chr2L 614562 618162 9
chr2L 618162 619362 6
chr2L 619362 629162 9
chr2L 629162 631562 6
chr2L 631562 679962 9
chr2L 679962 680762 6
chr2L 680762 681562 9
chr2L 681562 684362 6
chr2L 684362 685762 9
chr2L 685762 702762 6
chr2L 702762 704162 9
chr2L 704162 705562 6
chr2L 705562 707962 9
chr2L 707962 710162 6
chr2L 710162 717162 9
chr2L 717162 718762 6
chr2L 718762 721962 9
chr2L 721962 723162 6
